timestamp,visible_stores,predictions
2026-02-10 15:00:00-05:00,3686896,5390985
2026-02-10 16:00:00-05:00,3337993,3864401
2026-02-10 17:00:00-05:00,5566658,3946845
2026-02-10 18:00:00-05:00,5375207,5457277
2026-02-10 19:00:00-05:00,5174997,5279389
2026-02-10 20:00:00-05:00,4802184,4661939
2026-02-10 21:00:00-05:00,3985007,4114928
2026-02-10 22:00:00-05:00,2947363,2892192
2026-02-10 23:00:00-05:00,1601742,1424908
2026-02-11 00:00:00-05:00,606610,686238
2026-02-11 01:00:00-05:00,508117,477878
2026-02-11 02:00:00-05:00,409623,373896
2026-02-11 03:00:00-05:00,311129,279132
2026-02-11 04:00:00-05:00,212635,176176
2026-02-11 05:00:00-05:00,114142,118739
2026-02-11 06:00:00-05:00,15648,13332
2026-02-11 07:00:00-05:00,41791,38275
2026-02-11 08:00:00-05:00,403247,356024
2026-02-11 09:00:00-05:00,1366807,1334386
2026-02-11 10:00:00-05:00,2404432,2246623
2026-02-11 11:00:00-05:00,3228306,3141525
2026-02-11 12:00:00-05:00,4057404,4006066
2026-02-11 13:00:00-05:00,4857690,4723692
2026-02-11 14:00:00-05:00,5523914,5315533
2026-02-11 15:00:00-05:00,5630566,5253802
